Tidspunkt,solar_consumption,Verdi,total_consum
2024-07-06,233.09556649904692,731.9,964.9955664990468
2024-07-07,268.4857674958185,335.3,603.7857674958185
2024-07-08,452.4101998321712,560.4,1012.8101998321712
2024-07-09,511.2564492691306,480.0,991.2564492691306
2024-07-10,31.28470607660711,980.6,1011.8847060766071
2024-07-11,288.9939629519358,785.1,1074.0939629519357
2024-07-12,438.2935159094632,622.6,1060.8935159094633
2024-07-13,279.9225932108239,768.2,1048.1225932108239
2024-07-14,188.6038454957307,457.59999999999997,646.2038454957307
2024-07-15,203.67616264056426,876.7,1080.3761626405644
2024-07-16,211.52462647482741,801.8,1013.3246264748274
2024-07-17,237.96794384531677,814.5,1052.4679438453168
2024-07-18,460.68293229956186,586.2,1046.8829322995618
2024-07-19,442.23787020426244,632.0,1074.2378702042624
2024-07-20,454.7817953824996,633.3,1088.0817953824994
2024-07-21,361.14105976372963,376.4,737.5410597637297
2024-07-22,77.62263056635855,986.9,1064.5226305663584
2024-07-23,439.27926771342743,650.7,1089.9792677134274
2024-07-24,294.1988007780165,778.1,1072.2988007780166
2024-07-25,401.57469133869733,676.2,1077.7746913386973
2024-07-26,110.62203178927314,930.3,1040.9220317892732
2024-07-27,371.90587157569814,691.6,1063.5058715756982
2024-07-28,424.02257412299525,327.3,751.3225741229953
2024-07-29,308.44437384977925,722.9,1031.3443738497792
2024-07-30,308.0509385587647,744.5,1052.5509385587648
2024-07-31,448.5357052320616,557.9,1006.4357052320615
2024-08-01,414.33752836473275,612.7,1027.0375283647327
2024-08-02,418.5004590256139,631.4,1049.9004590256138
2024-08-03,293.651813423261,756.9,1050.551813423261
2024-08-04,387.66398615390057,416.6,804.2639861539005
2024-08-05,347.92247563693655,756.9,1104.8224756369366
2024-08-06,281.15692455740646,840.3,1121.4569245574064
2024-08-07,190.62206381186843,919.1,1109.7220638118683
2024-08-08,293.289968451485,766.3,1059.589968451485
2024-08-09,169.72418821789316,898.9,1068.624188217893
2024-08-10,283.4977825656533,733.5,1016.9977825656533
2024-08-11,426.5248934933915,316.1,742.6248934933915
2024-08-12,410.53166220523434,586.4,996.9316622052343
2024-08-13,223.6944270934909,808.4,1032.0944270934908
2024-08-14,85.53550956398252,981.4,1066.9355095639826
2024-08-15,188.3559445925057,910.1,1098.4559445925056
2024-08-16,345.9374073352665,697.1,1043.0374073352666
2024-08-17,305.4211943224074,656.1,961.5211943224074
2024-08-18,194.21002700086686,546.9,741.1100270008668
2024-08-19,321.354059552774,686.6,1007.954059552774
2024-08-20,64.68415390420701,967.4,1032.084153904207
2024-08-21,310.5925716310739,741.4,1051.9925716310738
2024-08-22,31.210036894306544,996.8,1028.0100368943065
2024-08-23,87.40210986323657,973.4,1060.8021098632366
2024-08-24,76.17042671144,943.4,1019.57042671144
2024-08-25,277.4473650259898,408.3,685.7473650259899
2024-08-26,221.84472930431357,798.3,1020.1447293043135
2024-08-27,169.08549328055233,838.9,1007.9854932805523
2024-08-28,254.16860988922443,827.4,1081.5686098892245
2024-08-29,67.21791608631615,985.4,1052.6179160863162
2024-08-30,243.76872782409208,811.2,1054.9687278240922
2024-08-31,331.70610217470676,647.3,979.0061021747067
2024-09-01,309.1756176520137,345.1,654.2756176520138
2024-09-02,130.8207990743687,871.0,1001.8207990743687
2024-09-03,27.821554549969736,947.0,974.8215545499697
2024-09-04,29.95212751440701,1042.6,1072.552127514407
